,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,is_world_cup,is_qualifier
0,2022-01-27,Jamaica,Mexico,1.0,2.0,FIFA World Cup qualification,Kingston,Jamaica,0,2022,0,1
1,2022-01-27,Chile,Argentina,1.0,2.0,FIFA World Cup qualification,Calama,Chile,0,2022,0,1
2,2022-01-27,Paraguay,Uruguay,0.0,1.0,FIFA World Cup qualification,Asunción,Paraguay,0,2022,0,1
3,2022-01-27,Ecuador,Brazil,1.0,1.0,FIFA World Cup qualification,Quito,Ecuador,0,2022,0,1
4,2022-01-27,Saudi Arabia,Oman,1.0,0.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,0,2022,0,1
5,2022-01-27,Japan,China PR,2.0,0.0,FIFA World Cup qualification,Saitama,Japan,0,2022,0,1
6,2022-01-27,Australia,Vietnam,4.0,0.0,FIFA World Cup qualification,Melbourne,Australia,0,2022,0,1
7,2022-01-27,Iran,Iraq,1.0,0.0,FIFA World Cup qualification,Tehran,Iran,0,2022,0,1
8,2022-01-27,Lebanon,South Korea,0.0,1.0,FIFA World Cup qualification,Sidon,Lebanon,0,2022,0,1
9,2022-01-27,Costa Rica,Panama,1.0,0.0,FIFA World Cup qualification,San José,Costa Rica,0,2022,0,1
10,2022-01-27,Honduras,Canada,0.0,2.0,FIFA World Cup qualification,San Pedro Sula,Honduras,0,2022,0,1
11,2022-01-27,United States,El Salvador,1.0,0.0,FIFA World Cup qualification,Columbus,United States,0,2022,0,1
12,2022-01-27,United Arab Emirates,Syria,2.0,0.0,FIFA World Cup qualification,Dubai,United Arab Emirates,0,2022,0,1
13,2022-01-28,Colombia,Peru,0.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,0,2022,0,1
14,2022-01-28,Venezuela,Bolivia,4.0,1.0,FIFA World Cup qualification,Barinas,Venezuela,0,2022,0,1
15,2022-01-30,Honduras,El Salvador,0.0,2.0,FIFA World Cup qualification,San Pedro Sula,Honduras,0,2022,0,1
16,2022-01-30,Panama,Jamaica,3.0,2.0,FIFA World Cup qualification,Panama City,Panama,0,2022,0,1
17,2022-01-30,Canada,United States,2.0,0.0,FIFA World Cup qualification,Hamilton,Canada,0,2022,0,1
18,2022-01-30,Mexico,Costa Rica,0.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,0,2022,0,1
19,2022-02-01,Lebanon,Iraq,1.0,1.0,FIFA World Cup qualification,Sidon,Lebanon,0,2022,0,1
20,2022-02-01,Iran,United Arab Emirates,1.0,0.0,FIFA World Cup qualification,Tehran,Iran,0,2022,0,1
21,2022-02-01,Syria,South Korea,0.0,2.0,FIFA World Cup qualification,Dubai,United Arab Emirates,1,2022,0,1
22,2022-02-01,Vietnam,China PR,3.0,1.0,FIFA World Cup qualification,Hanoi,Vietnam,0,2022,0,1
23,2022-02-01,Japan,Saudi Arabia,2.0,0.0,FIFA World Cup qualification,Saitama,Japan,0,2022,0,1
24,2022-02-01,Oman,Australia,2.0,2.0,FIFA World Cup qualification,Muscat,Oman,0,2022,0,1
25,2022-02-01,Bolivia,Chile,2.0,3.0,FIFA World Cup qualification,La Paz,Bolivia,0,2022,0,1
26,2022-02-01,Uruguay,Venezuela,4.0,1.0,FIFA World Cup qualification,Montevideo,Uruguay,0,2022,0,1
27,2022-02-01,Argentina,Colombia,1.0,0.0,FIFA World Cup qualification,Córdoba,Argentina,0,2022,0,1
28,2022-02-01,Peru,Ecuador,1.0,1.0,FIFA World Cup qualification,Lima,Peru,0,2022,0,1
29,2022-02-01,Brazil,Paraguay,4.0,0.0,FIFA World Cup qualification,Belo Horizonte,Brazil,0,2022,0,1
30,2022-02-02,Mexico,Panama,1.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,0,2022,0,1
31,2022-02-02,El Salvador,Canada,0.0,2.0,FIFA World Cup qualification,San Salvador,El Salvador,0,2022,0,1
32,2022-02-02,United States,Honduras,3.0,0.0,FIFA World Cup qualification,Saint Paul,United States,0,2022,0,1
33,2022-02-02,Jamaica,Costa Rica,0.0,1.0,FIFA World Cup qualification,Kingston,Jamaica,0,2022,0,1
34,2022-03-17,Cook Islands,Solomon Islands,0.0,2.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1
35,2022-03-18,Papua New Guinea,New Zealand,0.0,1.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1
36,2022-03-18,New Caledonia,Fiji,1.0,2.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1
37,2022-03-21,Papua New Guinea,New Caledonia,1.0,0.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1
38,2022-03-21,New Zealand,Fiji,4.0,0.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1
39,2022-03-24,Vietnam,Oman,0.0,1.0,FIFA World Cup qualification,Hanoi,Vietnam,0,2022,0,1
40,2022-03-24,Portugal,Turkey,3.0,1.0,FIFA World Cup qualification,Porto,Portugal,0,2022,0,1
41,2022-03-24,Italy,North Macedonia,0.0,1.0,FIFA World Cup qualification,Palermo,Italy,0,2022,0,1
42,2022-03-24,Uruguay,Peru,1.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,0,2022,0,1
43,2022-03-24,Paraguay,Ecuador,3.0,1.0,FIFA World Cup qualification,Ciudad del Este,Paraguay,0,2022,0,1
44,2022-03-24,Brazil,Chile,4.0,0.0,FIFA World Cup qualification,Rio de Janeiro,Brazil,0,2022,0,1
45,2022-03-24,Colombia,Bolivia,3.0,0.0,FIFA World Cup qualification,Barranquilla,Colombia,0,2022,0,1
46,2022-03-24,New Zealand,New Caledonia,7.0,1.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1
47,2022-03-24,Fiji,Papua New Guinea,1.0,2.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1
48,2022-03-24,Solomon Islands,Tahiti,3.0,1.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1
49,2022-03-24,China PR,Saudi Arabia,1.0,1.0,FIFA World Cup qualification,Sharjah,United Arab Emirates,1,2022,0,1
50,2022-03-24,Sweden,Czech Republic,1.0,0.0,FIFA World Cup qualification,Stockholm,Sweden,0,2022,0,1
51,2022-03-24,South Korea,Iran,2.0,0.0,FIFA World Cup qualification,Seoul,South Korea,0,2022,0,1
52,2022-03-24,Iraq,United Arab Emirates,1.0,0.0,FIFA World Cup qualification,Riyadh,Saudi Arabia,1,2022,0,1
53,2022-03-24,Lebanon,Syria,0.0,3.0,FIFA World Cup qualification,Sidon,Lebanon,0,2022,0,1
54,2022-03-24,Costa Rica,Canada,1.0,0.0,FIFA World Cup qualification,San José,Costa Rica,0,2022,0,1
55,2022-03-24,Panama,Honduras,1.0,1.0,FIFA World Cup qualification,Panama City,Panama,0,2022,0,1
56,2022-03-24,Mexico,United States,0.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,0,2022,0,1
57,2022-03-24,Jamaica,El Salvador,1.0,1.0,FIFA World Cup qualification,Kingston,Jamaica,0,2022,0,1
58,2022-03-24,Australia,Japan,0.0,2.0,FIFA World Cup qualification,Sydney,Australia,0,2022,0,1
59,2022-03-24,Wales,Austria,2.0,1.0,FIFA World Cup qualification,Cardiff,Wales,0,2022,0,1
60,2022-03-25,Argentina,Venezuela,3.0,0.0,FIFA World Cup qualification,Buenos Aires,Argentina,0,2022,0,1
61,2022-03-25,Ghana,Nigeria,0.0,0.0,FIFA World Cup qualification,Kumasi,Ghana,0,2022,0,1
62,2022-03-25,Mali,Tunisia,0.0,1.0,FIFA World Cup qualification,Bamako,Mali,0,2022,0,1
63,2022-03-25,DR Congo,Morocco,1.0,1.0,FIFA World Cup qualification,Kinshasa,DR Congo,0,2022,0,1
64,2022-03-25,Egypt,Senegal,1.0,0.0,FIFA World Cup qualification,Cairo,Egypt,0,2022,0,1
65,2022-03-25,Cameroon,Algeria,0.0,1.0,FIFA World Cup qualification,Douala,Cameroon,0,2022,0,1
66,2022-03-27,New Zealand,Tahiti,1.0,0.0,FIFA World Cup qualification,Doha,Qatar,1,2022,0,1
