date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,is_world_cup,is_qualifier,match_id,home_rank_date_used,home_rank,home_previous_rank,home_rank_change,home_total_points,home_previous_points,away_rank_date_used,away_rank,away_previous_rank,away_rank_change,away_total_points,away_previous_points,rank_advantage,points_diff,result,home_elo_date_used,home_elo_rank,home_elo,home_elo_avg_rank,home_elo_avg_rating,home_elo_matches_total,home_elo_wins,home_elo_losses,home_elo_draws,home_elo_goals_for,home_elo_goals_against,home_is_host,away_elo_date_used,away_elo_rank,away_elo,away_elo_avg_rank,away_elo_avg_rating,away_elo_matches_total,away_elo_wins,away_elo_losses,away_elo_draws,away_elo_goals_for,away_elo_goals_against,away_is_host,elo_advantage,elo_rank_advantage,elo_avg_rating_advantage,elo_win_rate_home,elo_win_rate_away,elo_win_rate_advantage,home_elo_was_filled,away_elo_was_filled
2022-01-27,Jamaica,Mexico,1.0,2.0,FIFA World Cup qualification,Kingston,Jamaica,0,2022,0,1,0,2021-12-23,57.0,57.0,0.0,1412.13,1412.13,2021-12-23,14.0,14.0,0.0,1638.3,1638.76,-43.0,-226.16999999999985,-1,2021-06-07,,1578.0,,,,,,,,,,2021-12-31,19.0,1839.0,20.0,1781.0,953.0,496.0,241.0,216.0,1719.0,988.0,1.0,-261.0,,,,0.5204616998950682,,1,0
2022-01-27,Chile,Argentina,1.0,2.0,FIFA World Cup qualification,Calama,Chile,0,2022,0,1,1,2021-12-23,24.0,24.0,0.0,1543.42,1541.33,2021-12-23,5.0,5.0,0.0,1750.51,1750.51,-19.0,-207.08999999999992,-1,2020-11-17,,1813.0,,,,,,,,,,2021-12-31,3.0,2101.0,5.0,1982.0,1056.0,568.0,223.0,265.0,1991.0,1112.0,0.0,-288.0,,,,0.5378787878787878,,1,0
2022-01-27,Paraguay,Uruguay,0.0,1.0,FIFA World Cup qualification,Asunción,Paraguay,0,2022,0,1,2,2021-12-23,43.0,43.0,0.0,1454.52,1454.52,2021-12-23,17.0,17.0,0.0,1596.66,1596.66,-26.0,-142.1400000000001,-1,2021-12-31,37.0,1729.0,23.0,1755.0,745.0,262.0,285.0,198.0,965.0,1065.0,0.0,2021-12-31,17.0,1847.0,12.0,1874.0,969.0,422.0,312.0,235.0,1537.0,1221.0,0.0,-118.0,-20.0,-119.0,0.3516778523489933,0.435500515995872,-0.0838226636468787,0,0
2022-01-27,Ecuador,Brazil,1.0,1.0,FIFA World Cup qualification,Quito,Ecuador,0,2022,0,1,3,2021-12-23,46.0,46.0,0.0,1448.27,1448.74,2021-12-23,2.0,2.0,0.0,1826.35,1826.35,-44.0,-378.0799999999999,0,2021-12-31,16.0,1849.0,67.0,1507.0,548.0,164.0,246.0,138.0,670.0,871.0,0.0,2021-12-31,1.0,2149.0,4.0,1996.0,1017.0,645.0,161.0,211.0,2201.0,909.0,0.0,-300.0,-15.0,-489.0,0.2992700729927007,0.6342182890855457,-0.3349482160928449,0,0
2022-01-27,Saudi Arabia,Oman,1.0,0.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,0,2022,0,1,4,2021-12-23,51.0,48.0,-3.0,1434.71,1441.17,2021-12-23,79.0,78.0,-1.0,1306.01,1307.09,28.0,128.70000000000005,1,2021-12-31,54.0,1629.0,76.0,1495.0,762.0,368.0,219.0,175.0,1204.0,819.0,0.0,2021-06-07,,1496.0,,,,,,,,,,133.0,,,0.4829396325459317,,,0,1
2022-01-27,Japan,China PR,2.0,0.0,FIFA World Cup qualification,Saitama,Japan,0,2022,0,1,5,2021-12-23,26.0,26.0,0.0,1531.53,1531.53,2021-12-23,74.0,74.0,0.0,1337.33,1337.33,48.0,194.20000000000005,1,2021-12-31,33.0,1760.0,63.0,1450.0,776.0,367.0,248.0,161.0,1364.0,945.0,0.0,2021-06-07,,1473.0,,,,,,,,,,287.0,,,0.4729381443298969,,,0,1
2022-01-27,Australia,Vietnam,4.0,0.0,FIFA World Cup qualification,Melbourne,Australia,0,2022,0,1,6,2021-12-23,35.0,35.0,0.0,1484.88,1484.88,2021-12-23,98.0,99.0,1.0,1212.54,1209.22,63.0,272.34000000000015,1,2021-12-31,34.0,1735.0,35.0,1668.0,586.0,297.0,167.0,122.0,1203.0,675.0,0.0,2021-06-07,,1425.0,,,,,,,,,,310.0,,,0.5068259385665529,,,0,1
2022-01-27,Iran,Iraq,1.0,0.0,FIFA World Cup qualification,Tehran,Iran,0,2022,0,1,7,2021-12-23,21.0,21.0,0.0,1557.58,1557.58,2021-12-23,75.0,75.0,0.0,1333.03,1335.58,54.0,224.54999999999995,1,2021-12-31,20.0,1837.0,41.0,1650.0,613.0,347.0,122.0,144.0,1160.0,477.0,0.0,2021-12-31,68.0,1551.0,46.0,1624.0,702.0,329.0,176.0,197.0,1123.0,654.0,0.0,286.0,48.0,26.0,0.566068515497553,0.4686609686609687,0.0974075468365843,0,0
2022-01-27,Lebanon,South Korea,0.0,1.0,FIFA World Cup qualification,Sidon,Lebanon,0,2022,0,1,8,2021-12-23,95.0,94.0,-1.0,1233.0,1233.76,2021-12-23,33.0,33.0,0.0,1507.24,1507.24,-62.0,-274.24,-1,2019-11-19,,1407.0,,,,,,,,,,2021-12-31,28.0,1788.0,35.0,1682.0,988.0,536.0,209.0,243.0,1788.0,904.0,0.0,-381.0,,,,0.5425101214574899,,1,0
2022-01-27,Costa Rica,Panama,1.0,0.0,FIFA World Cup qualification,San José,Costa Rica,0,2022,0,1,9,2021-12-23,49.0,49.0,0.0,1437.43,1437.43,2021-12-23,63.0,63.0,0.0,1379.34,1379.34,14.0,58.09000000000015,1,2018-03-27,,1743.0,,,,,,,,,,2021-12-31,57.0,1627.0,102.0,1344.0,523.0,165.0,231.0,127.0,633.0,821.0,0.0,116.0,,,,0.3154875717017208,,1,0
2022-01-27,Honduras,Canada,0.0,2.0,FIFA World Cup qualification,San Pedro Sula,Honduras,0,2022,0,1,10,2021-12-23,76.0,76.0,0.0,1332.16,1332.16,2021-12-23,40.0,40.0,0.0,1462.32,1462.32,-36.0,-130.15999999999983,-1,2021-03-28,,1604.0,,,,,,,,,,2021-12-31,29.0,1784.0,49.0,1591.0,431.0,163.0,170.0,98.0,543.0,567.0,1.0,-180.0,,,,0.3781902552204176,,1,0
2022-01-27,United States,El Salvador,1.0,0.0,FIFA World Cup qualification,Columbus,United States,0,2022,0,1,11,2021-12-23,11.0,12.0,1.0,1648.51,1647.14,2021-12-23,70.0,69.0,-1.0,1349.47,1350.63,59.0,299.04,1,2021-12-31,14.0,1858.0,41.0,1636.0,757.0,334.0,265.0,158.0,1124.0,1001.0,1.0,2021-03-28,,1466.0,,,,,,,,,,392.0,,,0.4412153236459709,,,0,1
2022-01-27,United Arab Emirates,Syria,2.0,0.0,FIFA World Cup qualification,Dubai,United Arab Emirates,0,2022,0,1,12,2021-12-23,69.0,70.0,1.0,1350.39,1350.41,2021-12-23,86.0,85.0,-1.0,1268.54,1269.96,17.0,81.85000000000014,1,2021-06-07,,1474.0,,,,,,,,,,2021-06-07,,1481.0,,,,,,,,,,-7.0,,,,,,1,1
2022-01-28,Colombia,Peru,0.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,0,2022,0,1,13,2021-12-23,16.0,16.0,0.0,1607.15,1607.15,2021-12-23,22.0,22.0,0.0,1551.15,1551.15,6.0,56.0,-1,2021-12-31,13.0,1904.0,51.0,1603.0,598.0,235.0,196.0,167.0,752.0,700.0,0.0,2020-11-17,,1792.0,,,,,,,,,,112.0,,,0.3929765886287625,,,0,1
2022-01-28,Venezuela,Bolivia,4.0,1.0,FIFA World Cup qualification,Barinas,Venezuela,0,2022,0,1,14,2021-12-23,59.0,59.0,0.0,1409.14,1409.14,2021-12-23,77.0,77.0,0.0,1324.21,1324.21,18.0,84.93000000000006,1,2020-11-17,,1801.0,,,,,,,,,,2020-11-17,,1582.0,,,,,,,,,,219.0,,,,,,1,1
2022-01-30,Honduras,El Salvador,0.0,2.0,FIFA World Cup qualification,San Pedro Sula,Honduras,0,2022,0,1,15,2021-12-23,76.0,76.0,0.0,1332.16,1332.16,2021-12-23,70.0,69.0,-1.0,1349.47,1350.63,-6.0,-17.309999999999945,-1,2021-03-28,,1604.0,,,,,,,,,,2021-03-28,,1466.0,,,,,,,,,,138.0,,,,,,1,1
2022-01-30,Panama,Jamaica,3.0,2.0,FIFA World Cup qualification,Panama City,Panama,0,2022,0,1,16,2021-12-23,63.0,63.0,0.0,1379.34,1379.34,2021-12-23,57.0,57.0,0.0,1412.13,1412.13,-6.0,-32.79000000000019,1,2021-12-31,57.0,1627.0,102.0,1344.0,523.0,165.0,231.0,127.0,633.0,821.0,0.0,2021-06-07,,1578.0,,,,,,,,,,49.0,,,0.3154875717017208,,,0,1
2022-01-30,Canada,United States,2.0,0.0,FIFA World Cup qualification,Hamilton,Canada,0,2022,0,1,17,2021-12-23,40.0,40.0,0.0,1462.32,1462.32,2021-12-23,11.0,12.0,1.0,1648.51,1647.14,-29.0,-186.19000000000003,1,2021-12-31,29.0,1784.0,49.0,1591.0,431.0,163.0,170.0,98.0,543.0,567.0,1.0,2021-12-31,14.0,1858.0,41.0,1636.0,757.0,334.0,265.0,158.0,1124.0,1001.0,1.0,-74.0,-15.0,-45.0,0.3781902552204176,0.4412153236459709,-0.0630250684255532,0,0
2022-01-30,Mexico,Costa Rica,0.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,0,2022,0,1,18,2021-12-23,14.0,14.0,0.0,1638.3,1638.76,2021-12-23,49.0,49.0,0.0,1437.43,1437.43,35.0,200.8699999999999,0,2021-12-31,19.0,1839.0,20.0,1781.0,953.0,496.0,241.0,216.0,1719.0,988.0,1.0,2018-03-27,,1743.0,,,,,,,,,,96.0,,,0.5204616998950682,,,0,1
2022-02-01,Lebanon,Iraq,1.0,1.0,FIFA World Cup qualification,Sidon,Lebanon,0,2022,0,1,19,2021-12-23,95.0,94.0,-1.0,1233.0,1233.76,2021-12-23,75.0,75.0,0.0,1333.03,1335.58,-20.0,-100.02999999999996,0,2019-11-19,,1407.0,,,,,,,,,,2021-12-31,68.0,1551.0,46.0,1624.0,702.0,329.0,176.0,197.0,1123.0,654.0,0.0,-144.0,,,,0.4686609686609687,,1,0
