Unnamed: 0,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,is_world_cup,is_qualifier,match_id,home_rank_date_used,home_rank,home_previous_rank,home_rank_change,home_total_points,home_previous_points,away_rank_date_used,away_rank,away_previous_rank,away_rank_change,away_total_points,away_previous_points,rank_advantage,points_diff,home_elo,away_elo,elo_advantage,result,home_form_sma3,home_form_sma5,home_form_sma7,home_form_ema50,home_form_ema33,home_form_ema25,away_form_sma3,away_form_sma5,away_form_sma7,away_form_ema50,away_form_ema33,away_form_ema25,form_diff_sma3,form_diff_sma5,form_diff_sma7,form_diff_ema50,form_diff_ema33,form_diff_ema25,home_strength_adjusted_margin_ema33,away_strength_adjusted_margin_ema33,strength_adjusted_margin_diff_ema33
0,2022-01-27,Jamaica,Mexico,1.0,2.0,FIFA World Cup qualification,Kingston,Jamaica,0,2022,0,1,0,2021-12-23,57.0,57.0,0.0,1412.13,1412.13,2021-12-23,14.0,14.0,0.0,1638.3,1638.76,-43.0,-226.16999999999985,1578.0,1839.0,-261.0,-1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
12,2022-01-27,United Arab Emirates,Syria,2.0,0.0,FIFA World Cup qualification,Dubai,United Arab Emirates,0,2022,0,1,12,2021-12-23,69.0,70.0,1.0,1350.39,1350.41,2021-12-23,86.0,85.0,-1.0,1268.54,1269.96,17.0,81.85000000000014,1474.0,1481.0,-7.0,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
10,2022-01-27,Honduras,Canada,0.0,2.0,FIFA World Cup qualification,San Pedro Sula,Honduras,0,2022,0,1,10,2021-12-23,76.0,76.0,0.0,1332.16,1332.16,2021-12-23,40.0,40.0,0.0,1462.32,1462.32,-36.0,-130.15999999999983,1604.0,1784.0,-180.0,-1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
9,2022-01-27,Costa Rica,Panama,1.0,0.0,FIFA World Cup qualification,San José,Costa Rica,0,2022,0,1,9,2021-12-23,49.0,49.0,0.0,1437.43,1437.43,2021-12-23,63.0,63.0,0.0,1379.34,1379.34,14.0,58.09000000000015,1743.0,1627.0,116.0,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
8,2022-01-27,Lebanon,South Korea,0.0,1.0,FIFA World Cup qualification,Sidon,Lebanon,0,2022,0,1,8,2021-12-23,95.0,94.0,-1.0,1233.0,1233.76,2021-12-23,33.0,33.0,0.0,1507.24,1507.24,-62.0,-274.24,1407.0,1788.0,-381.0,-1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
7,2022-01-27,Iran,Iraq,1.0,0.0,FIFA World Cup qualification,Tehran,Iran,0,2022,0,1,7,2021-12-23,21.0,21.0,0.0,1557.58,1557.58,2021-12-23,75.0,75.0,0.0,1333.03,1335.58,54.0,224.54999999999995,1837.0,1551.0,286.0,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
11,2022-01-27,United States,El Salvador,1.0,0.0,FIFA World Cup qualification,Columbus,United States,0,2022,0,1,11,2021-12-23,11.0,12.0,1.0,1648.51,1647.14,2021-12-23,70.0,69.0,-1.0,1349.47,1350.63,59.0,299.04,1858.0,1466.0,392.0,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5,2022-01-27,Japan,China PR,2.0,0.0,FIFA World Cup qualification,Saitama,Japan,0,2022,0,1,5,2021-12-23,26.0,26.0,0.0,1531.53,1531.53,2021-12-23,74.0,74.0,0.0,1337.33,1337.33,48.0,194.20000000000005,1760.0,1473.0,287.0,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
4,2022-01-27,Saudi Arabia,Oman,1.0,0.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,0,2022,0,1,4,2021-12-23,51.0,48.0,-3.0,1434.71,1441.17,2021-12-23,79.0,78.0,-1.0,1306.01,1307.09,28.0,128.70000000000005,1629.0,1496.0,133.0,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
3,2022-01-27,Ecuador,Brazil,1.0,1.0,FIFA World Cup qualification,Quito,Ecuador,0,2022,0,1,3,2021-12-23,46.0,46.0,0.0,1448.27,1448.74,2021-12-23,2.0,2.0,0.0,1826.35,1826.35,-44.0,-378.0799999999999,1849.0,2149.0,-300.0,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2,2022-01-27,Paraguay,Uruguay,0.0,1.0,FIFA World Cup qualification,Asunción,Paraguay,0,2022,0,1,2,2021-12-23,43.0,43.0,0.0,1454.52,1454.52,2021-12-23,17.0,17.0,0.0,1596.66,1596.66,-26.0,-142.1400000000001,1729.0,1847.0,-118.0,-1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1,2022-01-27,Chile,Argentina,1.0,2.0,FIFA World Cup qualification,Calama,Chile,0,2022,0,1,1,2021-12-23,24.0,24.0,0.0,1543.42,1541.33,2021-12-23,5.0,5.0,0.0,1750.51,1750.51,-19.0,-207.08999999999992,1813.0,2101.0,-288.0,-1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
6,2022-01-27,Australia,Vietnam,4.0,0.0,FIFA World Cup qualification,Melbourne,Australia,0,2022,0,1,6,2021-12-23,35.0,35.0,0.0,1484.88,1484.88,2021-12-23,98.0,99.0,1.0,1212.54,1209.22,63.0,272.34000000000015,1735.0,1425.0,310.0,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
13,2022-01-28,Colombia,Peru,0.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,0,2022,0,1,13,2021-12-23,16.0,16.0,0.0,1607.15,1607.15,2021-12-23,22.0,22.0,0.0,1551.15,1551.15,6.0,56.0,1904.0,1792.0,112.0,-1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
14,2022-01-28,Venezuela,Bolivia,4.0,1.0,FIFA World Cup qualification,Barinas,Venezuela,0,2022,0,1,14,2021-12-23,59.0,59.0,0.0,1409.14,1409.14,2021-12-23,77.0,77.0,0.0,1324.21,1324.21,18.0,84.93000000000006,1801.0,1582.0,219.0,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
18,2022-01-30,Mexico,Costa Rica,0.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,0,2022,0,1,18,2021-12-23,14.0,14.0,0.0,1638.3,1638.76,2021-12-23,49.0,49.0,0.0,1437.43,1437.43,35.0,200.8699999999999,1839.0,1743.0,96.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.72,-0.58
17,2022-01-30,Canada,United States,2.0,0.0,FIFA World Cup qualification,Hamilton,Canada,0,2022,0,1,17,2021-12-23,40.0,40.0,0.0,1462.32,1462.32,2021-12-23,11.0,12.0,1.0,1648.51,1647.14,-29.0,-186.19000000000003,1784.0,1858.0,-74.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,-0.17999999999999994,1.46
15,2022-01-30,Honduras,El Salvador,0.0,2.0,FIFA World Cup qualification,San Pedro Sula,Honduras,0,2022,0,1,15,2021-12-23,76.0,76.0,0.0,1332.16,1332.16,2021-12-23,70.0,69.0,-1.0,1349.47,1350.63,-6.0,-17.309999999999945,1604.0,1466.0,138.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.28,0.17999999999999994,-1.46
16,2022-01-30,Panama,Jamaica,3.0,2.0,FIFA World Cup qualification,Panama City,Panama,0,2022,0,1,16,2021-12-23,63.0,63.0,0.0,1379.34,1379.34,2021-12-23,57.0,57.0,0.0,1412.13,1412.13,-6.0,-32.79000000000019,1627.0,1578.0,49.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.72,-0.14,-0.58
