rank_date,date_id,country,country_code,rank,previous_rank,rank_change,total_points,previous_points,confederation,source_url
2024-09-19,id14506,Argentina,ARG,1.0,1.0,0.0,1889.02,1901.48,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,France,FRA,2.0,2.0,0.0,1851.92,1854.91,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Spain,ESP,3.0,3.0,0.0,1836.42,1835.67,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,England,ENG,4.0,4.0,0.0,1817.28,1812.26,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Brazil,BRA,5.0,5.0,0.0,1772.02,1785.61,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Belgium,BEL,6.0,6.0,0.0,1768.14,1772.44,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Netherlands,NED,7.0,7.0,0.0,1759.95,1758.51,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Portugal,POR,8.0,8.0,0.0,1752.14,1741.43,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Colombia,COL,9.0,9.0,0.0,1738.72,1727.32,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Italy,ITA,10.0,10.0,0.0,1726.31,1714.29,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Uruguay,URU,11.0,11.0,0.0,1701.34,1713.15,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Croatia,CRO,12.0,12.0,0.0,1699.6,1701.31,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Germany,GER,13.0,13.0,0.0,1692.19,1686.02,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Morocco,MAR,14.0,14.0,0.0,1676.14,1669.44,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Switzerland,SUI,15.0,15.0,0.0,1641.0,1654.1,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Japan,JPN,16.0,18.0,2.0,1639.6,1628.81,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Mexico,MEX,17.0,17.0,0.0,1635.66,1635.11,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,USA,USA,18.0,16.0,-2.0,1632.19,1641.75,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,IR Iran,IRN,19.0,20.0,1.0,1622.92,1611.16,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Denmark,DEN,20.0,21.0,1.0,1621.7,1607.52,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Senegal,SEN,21.0,19.0,-2.0,1620.87,1623.34,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Austria,AUT,22.0,22.0,0.0,1580.37,1591.56,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Korea Republic,KOR,23.0,23.0,0.0,1572.61,1572.87,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Ukraine,UKR,24.0,25.0,1.0,1548.29,1567.25,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Australia,AUS,25.0,24.0,-1.0,1544.3,1571.29,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Türkiye,TUR,26.0,26.0,0.0,1538.52,1533.6,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Ecuador,ECU,27.0,27.0,0.0,1535.43,1530.44,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Sweden,SWE,28.0,29.0,1.0,1528.18,1522.19,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Wales,WAL,29.0,30.0,1.0,1526.53,1521.4,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Poland,POL,30.0,28.0,-2.0,1525.08,1523.53,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Egypt,EGY,31.0,36.0,5.0,1515.64,1502.34,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Hungary,HUN,32.0,31.0,-1.0,1511.06,1518.77,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Côte d'Ivoire,CIV,33.0,38.0,5.0,1509.12,1499.69,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
2024-09-19,id14506,Russia,RUS,34.0,33.0,-1.0,1508.73,1506.58,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14506
