rank_date,date_id,country,country_code,rank,previous_rank,rank_change,total_points,previous_points,confederation
2024-12-19,id14597,Argentina,ARG,1.0,1.0,0.0,1867.25,1867.25,CONMEBOL
2024-12-19,id14597,France,FRA,2.0,2.0,0.0,1859.78,1859.78,UEFA
2024-12-19,id14597,Spain,ESP,3.0,3.0,0.0,1853.27,1853.27,UEFA
2024-12-19,id14597,England,ENG,4.0,4.0,0.0,1813.81,1813.81,UEFA
2024-12-19,id14597,Brazil,BRA,5.0,5.0,0.0,1775.85,1775.85,CONMEBOL
2024-12-19,id14597,Portugal,POR,6.0,6.0,0.0,1756.12,1756.12,UEFA
2024-12-19,id14597,Netherlands,NED,7.0,7.0,0.0,1747.55,1747.55,UEFA
2024-12-19,id14597,Belgium,BEL,8.0,8.0,0.0,1740.62,1740.62,UEFA
2024-12-19,id14597,Italy,ITA,9.0,9.0,0.0,1731.51,1731.51,UEFA
2024-12-19,id14597,Germany,GER,10.0,10.0,0.0,1703.79,1703.79,UEFA
2024-12-19,id14597,Uruguay,URU,11.0,11.0,0.0,1695.91,1695.91,CONMEBOL
2024-12-19,id14597,Colombia,COL,12.0,12.0,0.0,1694.44,1694.44,CONMEBOL
2024-12-19,id14597,Croatia,CRO,13.0,13.0,0.0,1691.59,1691.59,UEFA
2024-12-19,id14597,Morocco,MAR,14.0,14.0,0.0,1688.18,1688.18,CAF
2024-12-19,id14597,Japan,JPN,15.0,15.0,0.0,1652.79,1652.79,AFC
2024-12-19,id14597,USA,USA,16.0,16.0,0.0,1645.48,1645.48,CONCACAF
2024-12-19,id14597,Senegal,SEN,17.0,17.0,0.0,1637.25,1637.25,CAF
2024-12-19,id14597,IR Iran,IRN,18.0,18.0,0.0,1635.31,1635.31,AFC
2024-12-19,id14597,Mexico,MEX,19.0,19.0,0.0,1627.4,1627.4,CONCACAF
2024-12-19,id14597,Switzerland,SUI,20.0,20.0,0.0,1625.16,1625.16,UEFA
2024-12-19,id14597,Denmark,DEN,21.0,21.0,0.0,1611.49,1611.49,UEFA
2024-12-19,id14597,Austria,AUT,22.0,22.0,0.0,1589.84,1589.84,UEFA
2024-12-19,id14597,Korea Republic,KOR,23.0,23.0,0.0,1585.45,1585.45,AFC
2024-12-19,id14597,Ecuador,ECU,24.0,24.0,0.0,1560.13,1560.13,CONMEBOL
2024-12-19,id14597,Ukraine,UKR,25.0,25.0,0.0,1554.94,1554.94,UEFA
2024-12-19,id14597,Australia,AUS,26.0,26.0,0.0,1544.15,1544.15,AFC
2024-12-19,id14597,Sweden,SWE,27.0,27.0,0.0,1540.2,1540.2,UEFA
2024-12-19,id14597,Türkiye,TUR,28.0,28.0,0.0,1537.24,1537.24,UEFA
2024-12-19,id14597,Wales,WAL,29.0,29.0,0.0,1534.39,1534.39,UEFA
