rank_date,date_id,country,country_code,rank,previous_rank,rank_change,total_points,previous_points,confederation,source_url
2021-12-23,id13505,Belgium,BEL,1.0,1.0,0.0,1828.45,1828.45,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13505
2021-12-23,id13505,Brazil,BRA,2.0,2.0,0.0,1826.35,1826.35,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13505
2021-12-23,id13505,France,FRA,3.0,3.0,0.0,1786.15,1786.15,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13505
2021-12-23,id13505,England,ENG,4.0,4.0,0.0,1755.52,1755.52,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13505
2021-12-23,id13505,Argentina,ARG,5.0,5.0,0.0,1750.51,1750.51,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13505
2021-12-23,id13505,Italy,ITA,6.0,6.0,0.0,1740.77,1740.77,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13505
2021-12-23,id13505,Spain,ESP,7.0,7.0,0.0,1704.75,1704.75,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13505
2021-12-23,id13505,Portugal,POR,8.0,8.0,0.0,1660.25,1660.25,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13505
2021-12-23,id13505,Denmark,DEN,9.0,9.0,0.0,1654.54,1654.54,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13505
2021-12-23,id13505,Netherlands,NED,10.0,10.0,0.0,1653.73,1653.73,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13505
2021-12-23,id13505,USA,USA,11.0,12.0,1.0,1648.51,1647.14,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13505
2021-12-23,id13505,Germany,GER,12.0,11.0,-1.0,1648.33,1648.33,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13505
