rank_date,date_id,country,country_code,rank,previous_rank,rank_change,total_points,previous_points,confederation,source_url,data_note
2025-11-19,FRS_Male_Football_20251119,Spain,ESP,1,1,0,1877.18,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Argentina,ARG,2,2,0,1873.33,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,France,FRA,3,3,0,1870.0,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,England,ENG,4,4,0,1834.12,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Brazil,BRA,5,7,2,1760.46,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Portugal,POR,6,5,-1,1760.38,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Netherlands,NED,7,6,-1,1756.27,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Belgium,BEL,8,8,0,1736.38,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Germany,GER,9,10,1,1713.3,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Croatia,CRO,10,9,-1,1710.15,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Morocco,MAR,11,12,1,1706.27,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Italy,ITA,12,11,-1,1702.89,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Colombia,COL,13,13,0,1696.53,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Senegal,SEN,14,18,4,1683.03,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Mexico,MEX,15,14,-1,1682.05,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Uruguay,URU,16,15,-1,1677.6,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,United States,USA,17,16,-1,1671.26,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Switzerland,SUI,18,17,-1,1654.64,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Japan,JPN,19,19,0,1645.66,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Denmark,DEN,20,21,1,1625.96,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Iran,IRN,21,20,-1,1618.71,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Austria,AUT,22,24,2,1598.57,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,South Korea,KOR,23,22,-1,1593.33,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Ecuador,ECU,24,23,-1,1589.72,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Australia,AUS,25,25,0,1549.07,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Norway,NOR,26,29,3,1539.43,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Turkey,TUR,27,26,-1,1537.89,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Canada,CAN,28,28,0,1537.27,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Paraguay,PAR,29,31,2,1526.83,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Ukraine,UKR,30,27,-3,1526.3,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Sweden,SWE,31,32,1,1522.19,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Wales,WAL,32,33,1,1521.72,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Panama,PAN,33,30,-3,1514.03,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Egypt,EGY,34,32,-2,1508.98,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Algeria,ALG,35,38,3,1508.08,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Czech Republic,CZE,36,39,3,1506.15,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Serbia,SRB,37,37,0,1500.61,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Poland,POL,38,36,-2,1496.47,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Russia,RUS,39,35,-4,1494.39,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Tunisia,TUN,40,39,-1,1491.81,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Hungary,HUN,41,41,0,1486.73,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Scotland,SCO,42,43,1,1478.14,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Slovakia,SVK,43,42,-1,1473.42,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Greece,GRE,44,46,2,1463.74,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Nigeria,NGA,45,45,0,1463.1,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Cameroon,CMR,46,54,8,1462.25,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Côte d'Ivoire,CIV,47,42,-5,1460.96,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Romania,ROU,48,47,-1,1458.68,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Venezuela,VEN,49,50,1,1453.35,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Mali,MLI,50,53,3,1452.54,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Slovenia,SVN,51,49,-2,1452.41,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Uzbekistan,UZB,52,55,3,1450.31,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Peru,PER,53,48,-5,1448.11,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Costa Rica,CRC,54,46,-8,1447.5,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,South Africa,RSA,55,59,4,1442.78,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Chile,CHI,56,57,1,1440.81,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Qatar,QAT,57,51,-6,1434.75,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Saudi Arabia,KSA,58,58,0,1432.89,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Jamaica,JAM,59,68,9,1432.14,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Iraq,IRQ,60,56,-4,1431.57,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Burkina Faso,BFA,61,64,3,1413.99,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,DR Congo,COD,62,60,-2,1413.78,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Republic of Ireland,IRL,63,62,-1,1409.02,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Jordan,JOR,64,66,2,1408.46,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,Albania,ALB,65,61,-4,1402.44,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
2025-11-19,FRS_Male_Football_20251119,North Macedonia,MKD,66,67,1,1375.29,,,https://si.wikipedia.org/wiki/Module:SportsRankings/data/FIFA_World_Rankings,Manual extraction from ranking module; top 100 only; previous_points and confederation unavailable.
