elo_date,elo_rank,team,elo_rating,average_rank,average_rating
2026-06-11,1,Spain,2157,7,1946
2026-06-11,2,Argentina,2115,5,1987
2026-06-11,3,France,2063,16,1795
2026-06-11,4,England,2024,4,1983
2026-06-11,5,Brazil,1991,4,1998
2026-06-11,6,Portugal,1989,19,1797
2026-06-11,7,Colombia,1982,48,1621
2026-06-11,8,Netherlands,1948,15,1848
2026-06-11,9,Ecuador,1938,64,1525
2026-06-11,10,Germany,1932,8,1911
2026-06-11,11,Norway,1914,38,1623
2026-06-11,12,Croatia,1912,12,1881
2026-06-11,13,Turkey,1911,43,1610
2026-06-11,14,Japan,1906,61,1467
2026-06-11,15,Belgium,1894,24,1755
2026-06-11,16,Uruguay,1892,12,1876
2026-06-11,17,Switzerland,1891,27,1689
2026-06-11,18,Mexico,1875,20,1783
2026-06-11,19,Denmark,1869,20,1799
2026-06-11,19,Italy,1869,8,1915
2026-06-11,21,Senegal,1860,56,1591
2026-06-11,22,Paraguay,1834,23,1755
2026-06-11,23,Austria,1830,20,1810
2026-06-11,24,Morocco,1827,43,1657
2026-06-11,25,Canada,1788,49,1599
2026-06-11,26,Scotland,1782,14,1879
2026-06-11,27,Ukraine,1780,31,1745
2026-06-11,28,Australia,1777,35,1672
2026-06-11,29,Algeria,1772,48,1621
2026-06-11,29,Iran,1772,40,1658
2026-06-11,29,Russia,1772,24,1742
2026-06-11,32,Nigeria,1767,38,1668
2026-06-11,33,South Korea,1758,35,1687
2026-06-11,34,Greece,1744,49,1559
2026-06-11,35,Czechia,1740,13,1855
2026-06-11,36,Serbia,1734,20,1787
2026-06-11,37,Venezuela,1733,84,1432
2026-06-11,38,Panama,1730,99,1362
2026-06-11,39,United States,1726,41,1642
2026-06-11,40,Chile,1717,28,1678
2026-06-11,41,Kosovo,1715,102,1420
2026-06-11,42,Uzbekistan,1714,59,1596
2026-06-11,43,Sweden,1712,17,1795
2026-06-11,44,Hungary,1710,20,1835
2026-06-11,44,Poland,1710,30,1712
2026-06-11,46,Peru,1700,34,1679
2026-06-11,47,Ireland,1699,24,1626
2026-06-11,48,Egypt,1696,37,1662
2026-06-11,49,Ivory Coast,1695,45,1640
2026-06-11,50,Wales,1682,22,1671
2026-06-11,50,Slovenia,1682,54,1625
2026-06-11,52,Jordan,1680,111,1324
2026-06-11,53,Slovakia,1667,40,1682
2026-06-11,54,Georgia,1654,70,1553
2026-06-11,55,DR Congo,1652,62,1557
2026-06-11,56,Israel,1647,49,1621
2026-06-11,57,Romania,1639,29,1717
2026-06-11,58,Tunisia,1628,47,1616
2026-06-11,59,Bolivia,1621,60,1509
2026-06-11,60,Albania,1616,72,1504
2026-06-11,61,Cameroon,1614,53,1605
2026-06-11,62,Costa Rica,1608,36,1690
2026-06-11,63,Iraq,1607,47,1622
2026-06-11,64,Northern Ireland,1605,40,1655
2026-06-11,65,Bosnia and Herzegovina,1595,53,1626
2026-06-11,66,North Macedonia,1589,74,1534
2026-06-11,67,Mali,1588,70,1523
2026-06-11,68,Cape Verde,1578,120,1302
2026-06-11,69,Saudi Arabia,1576,76,1499
2026-06-11,70,Honduras,1570,63,1500
2026-06-11,71,Iceland,1568,81,1425
2026-06-11,72,New Zealand,1562,66,1500
2026-06-11,73,Haiti,1548,81,1418
2026-06-11,74,Angola,1542,86,1456
2026-06-11,75,United Arab Emirates,1540,98,1395
2026-06-11,76,Finland,1536,62,1500
2026-06-11,77,Burkina Faso,1529,98,1402
2026-06-11,78,Jamaica,1527,83,1413
2026-06-11,79,Belarus,1522,80,1505
2026-06-11,80,South Africa,1517,32,1707
2026-06-11,81,Ghana,1510,42,1650
2026-06-11,82,Guatemala,1504,68,1486
2026-06-11,83,Oman,1480,127,1211
2026-06-11,84,Syria,1479,86,1428
2026-06-11,85,Palestine,1465,121,1255
2026-06-11,86,Guinea,1463,72,1516
2026-06-11,87,Montenegro,1461,60,1597
2026-06-11,88,Bulgaria,1458,41,1633
2026-06-11,89,Luxembourg,1450,108,1256
2026-06-11,90,Northern Cyprus,1442,87,1450
2026-06-11,91,Curaçao,1434,97,1381
2026-06-11,92,Suriname,1431,84,1404
2026-06-11,93,Kazakhstan,1428,100,1420
2026-06-11,94,China,1424,50,1577
2026-06-11,94,Kurdistan,1424,100,1424
2026-06-11,96,Qatar,1421,93,1416
2026-06-11,97,Libya,1420,82,1469
2026-06-11,98,Gambia,1419,118,1309
2026-06-11,99,Bahrain,1414,109,1349
2026-06-11,100,Benin,1405,109,1356
2026-06-11,101,Gabon,1401,95,1413
2026-06-11,102,Uganda,1394,75,1482
2026-06-11,103,Faroe Islands,1386,122,1252
2026-06-11,105,Niger,1382,133,1239
2026-06-11,106,Madagascar,1380,104,1366
2026-06-11,106,Equatorial Guinea,1380,151,1159
2026-06-11,108,Togo,1379,90,1439
2026-06-11,109,Thailand,1376,112,1318
2026-06-11,110,North Korea,1375,63,1567
2026-06-11,111,Comoros,1374,186,941
2026-06-11,112,Armenia,1373,102,1418
2026-06-11,113,Zimbabwe,1372,78,1462
2026-06-11,113,Indonesia,1372,101,1361
2026-06-11,115,Zambia,1371,60,1551
2026-06-11,116,Kenya,1363,90,1379
2026-06-11,117,Estonia,1360,94,1353
2026-06-11,118,Vietnam,1351,120,1298
2026-06-11,119,Sudan,1350,90,1444
2026-06-11,120,Reunion,1345,125,1184
2026-06-11,121,El Salvador,1342,72,1471
2026-06-11,121,Mozambique,1342,116,1332
2026-06-11,123,Sierra Leone,1341,104,1368
2026-06-11,124,Guadeloupe,1338,91,1408
2026-06-11,125,Rwanda,1336,144,1206
2026-06-11,126,Nicaragua,1333,146,1031
2026-06-11,127,Kuwait,1332,83,1468
2026-06-11,128,Mauritania,1329,155,1115
2026-06-11,129,Azerbaijan,1322,107,1397
2026-06-11,130,Zanzibar,1320,145,1119
2026-06-11,131,Cyprus,1314,102,1377
2026-06-11,132,Tanzania,1313,117,1295
2026-06-11,133,Martinique,1312,79,1458
2026-06-11,134,Liberia,1304,112,1342
2026-06-11,135,Namibia,1303,136,1272
2026-06-11,136,Kyrgyzstan,1295,155,1203
2026-06-11,137,Malaysia,1293,122,1290
2026-06-11,138,Guyana,1292,104,1293
2026-06-11,139,Lebanon,1288,108,1333
2026-06-11,139,Latvia,1288,87,1399
2026-06-11,141,Ethiopia,1287,99,1394
2026-06-11,142,New Caledonia,1286,103,1357
2026-06-11,143,Tajikistan,1285,123,1334
2026-06-11,143,Burundi,1285,125,1285
2026-06-11,145,Dominican Republic,1283,167,1060
2026-06-11,146,Lithuania,1279,92,1319
2026-06-11,147,Moldova,1270,109,1391
2026-06-11,148,Botswana,1267,150,1167
2026-06-11,149,Malta,1255,118,1322
2026-06-11,150,Guinea-Bissau,1248,126,1282
2026-06-11,151,Cuba,1239,84,1438
2026-06-11,151,Malawi,1239,115,1327
2026-06-11,153,Central African Republic,1236,124,1295
2026-06-11,154,French Guiana,1223,125,1246
2026-06-11,155,Mayotte,1216,157,1202
2026-06-11,156,Turkmenistan,1209,117,1358
2026-06-11,157,Congo,1207,83,1470
2026-06-11,158,Eritrea,1201,164,1158
2026-06-11,159,Lesotho,1198,151,1179
2026-06-11,160,Yemen,1195,144,1212
2026-06-11,161,Philippines,1179,135,1069
2026-06-11,162,Tahiti,1177,102,1386
2026-06-11,163,Eswatini,1148,153,1168
2026-06-11,164,Saint Vincent and the Grenadines,1141,110,1322
2026-06-11,165,Papua New Guinea,1135,165,1091
2026-06-11,165,Puerto Rico,1135,169,936
2026-06-11,167,Singapore,1134,134,1228
2026-06-11,168,India,1128,110,1341
2026-06-11,169,Vanuatu,1118,156,1104
2026-06-11,170,Bermuda,1117,128,1284
2026-06-11,171,South Sudan,1109,178,1087
2026-06-11,172,Fiji,1104,129,1246
2026-06-11,173,Hong Kong,1101,123,1288
2026-06-11,174,Grenada,1098,101,1370
2026-06-11,175,Andorra,1080,182,1050
2026-06-11,176,Mauritius,1073,108,1334
2026-06-11,176,Chad,1073,135,1244
2026-06-11,176,Belize,1073,139,1114
2026-06-11,179,Solomon Islands,1054,147,1183
2026-06-11,180,Saint Martin,1042,187,983
2026-06-11,181,Sao Tome and Principe,1035,174,1056
2026-06-11,182,Saint Kitts and Nevis,1029,138,1174
2026-06-11,183,Gibraltar,1011,178,1081
2026-06-11,184,Somaliland,1005,188,1004
2026-06-11,185,Saint Lucia,1003,126,1240
2026-06-11,186,Western Sahara,996,189,996
2026-06-11,187,Myanmar,984,125,1244
2026-06-11,188,Somalia,979,166,1072
2026-06-11,189,Aruba,978,125,1198
2026-06-11,190,Sint Maarten,975,187,909
2026-06-11,191,Montserrat,972,191,642
2026-06-11,192,Afghanistan,961,167,920
2026-06-11,193,Greenland,945,185,975
2026-06-11,194,Bangladesh,942,181,980
2026-06-11,195,Djibouti,940,178,872
2026-06-11,196,Dominica,934,132,1196
2026-06-11,197,Pakistan,909,154,1101
2026-06-11,198,Monaco,903,199,900
2026-06-11,199,Barbados,898,121,1243
2026-06-11,200,Antigua and Barbuda,895,145,1178
2026-06-11,200,Liechtenstein,895,167,1114
2026-06-11,202,Nepal,893,190,889
2026-06-11,203,Cambodia,871,157,1058
2026-06-11,204,Seychelles,853,182,987
2026-06-11,205,Sri Lanka,836,161,933
2026-06-11,206,San Marino,825,195,917
2026-06-11,207,Taiwan,822,144,1169
2026-06-11,208,Bonaire,817,150,1037
2026-06-11,209,Maldives,801,191,885
2026-06-11,210,Cayman Islands,800,183,1000
2026-06-11,211,Chagos Islands,782,211,783
2026-06-11,212,Tuvalu,756,204,745
2026-06-11,213,British Virgin Islands,743,207,788
2026-06-11,214,Sint Eustatius,737,213,753
2026-06-11,215,Laos,734,186,895
2026-06-11,215,East Timor,734,226,630
2026-06-11,217,Samoa,728,211,659
2026-06-11,218,Mongolia,726,190,842
2026-06-11,219,Saint Barthelemy,725,217,706
2026-06-11,220,Guam,706,207,694
2026-06-11,221,Wallis and Futuna,699,201,699
2026-06-11,222,Vatican,692,218,697
2026-06-11,223,Saba,691,223,675
2026-06-11,224,Bahamas,685,190,872
2026-06-11,225,Saint Pierre and Miquelon,677,223,678
2026-06-11,226,Turks and Caicos Islands,657,211,765
2026-06-11,227,Anguilla,646,224,556
2026-06-11,228,Tibet,629,208,665
2026-06-11,229,US Virgin Islands,628,219,685
2026-06-11,230,Bhutan,623,219,600
2026-06-11,231,Cook Islands,622,206,681
2026-06-11,232,Macao,589,175,945
2026-06-11,233,Christmas Island,578,228,577
2026-06-11,234,Brunei,572,201,778
2026-06-11,235,Falkland Islands,571,229,585
2026-06-11,236,FS Micronesia,564,231,572
2026-06-11,237,Marshall Islands,559,237,559
2026-06-11,238,Kiribati,544,219,578
2026-06-11,239,Tonga,520,213,651
2026-06-11,240,Niue,496,225,496
2026-06-11,241,Northern Mariana Islands,432,233,512
2026-06-11,242,Cocos Islands,422,235,423
2026-06-11,243,Palau,402,237,402
2026-06-11,244,Eastern Samoa,369,226,467
