,experiment,mean_accuracy
23,Experiment_3-2,0.6622
19,Experiment_3-3,0.6595
24,Experiment_4-1,0.6522522522522523
18,Experiment_3-1,0.6512
22,Experiment_3-6,0.6477
21,Experiment_3-5,0.6428
15,Experiment_2-8,0.6398
9,Experiment_2-2,0.6341
10,Experiment_2-3,0.6207
16,Experiment_2-9,0.6207
8,Experiment_2-1,0.5959
14,Experiment_2-7,0.5835
20,Experiment_3-4,0.5829
3,Experiment_1-4,0.5806
1,Experiment_1-2,0.5738
4,Experiment_1-5,0.5681
5,Experiment_1-6,0.5665
2,Experiment_1-3,0.565725806451613
0,Experiment_1-1,0.5621
12,Experiment_2-5,0.5311
13,Experiment_2-6,0.5279
6,Experiment_2-10,0.5248
11,Experiment_2-4,0.5221
17,Experiment_2-11,0.5212
7,Experiment_2-12,0.5153
