,experiment,accuracy,precision,recall,specificity,f1,f1_std,f1_min,f1_max
0,Experiment_3-3_v2_points_ranks_SMA5_EMA25,0.6639639639639638,0.6099832854992551,0.5738084610425036,0.8084211404306945,0.5526031133911492,0.0134346489313593,0.5277266849626537,0.5717253463820752
1,Experiment_3-1_v2_points_ranks_SMA5,0.6635135135135135,0.5630373527069146,0.5629980657640232,0.8063553230209282,0.5217871167149708,0.0371894167466773,0.4814092140921409,0.5839418614832327
2,Experiment_3-2_v2_points_ranks_EMA25,0.6572072072072072,0.5735338472077538,0.5601572186678568,0.8044543524416137,0.5219971997111122,0.0324670755649868,0.4773206166130642,0.5712512104962388
3,Experiment_4-1_FIFA_rank_goal_diff_EMA,0.6558558558558559,0.6107015512282559,0.5542625071880392,0.7999306757028276,0.5083856305269431,0.0186364883939614,0.4723940808278157,0.5296985163010584
4,Experiment_3-4_v2_points_rank_diff_elo_diff_SMA5,0.6490990990990992,0.558660198605296,0.5428830035213015,0.7959962086745527,0.4911097927727346,0.011957527028424,0.4715660542432195,0.50764370788966
5,Experiment_3-5_v2_points_rank_diff_elo_diff_EMA25,0.6481981981981981,0.5275660712729051,0.5412279918662897,0.7954685319987868,0.4909255524813568,0.0142862238386143,0.4724867724867724,0.5154846862613179
6,Experiment_3-6_v2_points_rank_diff_elo_diff_SMA5EMA25,0.6436936936936937,0.5245777308488047,0.5395457025244259,0.7937623597209584,0.4985753960320181,0.0141603044777285,0.4799811324026215,0.5239612413027702
7,Experiment_2-1_v2_points_SMA3,0.6144144144144145,0.4079057748611672,0.4865501165501165,0.7646022899605703,0.436350841355393,0.0043626250065446,0.4288206979542719,0.4405398079306071
8,Experiment_2-6_v2_points_EMA25,0.6135135135135135,0.4098094899601827,0.4955944055944056,0.7657131483166515,0.4443499232242538,0.0091714925927048,0.4211559700576758,0.4564165117719951
9,Experiment_2-8_v2_points_SMA5_Diff,0.6121621621621621,0.409099153066716,0.494055944055944,0.7646496815286624,0.4430866595194829,0.0080239012506456,0.4304226239710111,0.4497663772392788
10,Experiment_2-2_v2_points_SMA5,0.6112612612612612,0.4068034032093471,0.4911421911421911,0.7641397482559903,0.4405099690986531,0.0038659185058384,0.434389581991058,0.4466997180907943
11,Experiment_2-12_v2_points_EMA25_Diff,0.6103603603603605,0.4011670468904872,0.4955710955710956,0.7678097512890507,0.4416285068209796,0.0043229158937558,0.4392611440957497,0.4533629794330183
12,Experiment_2-5_v2_points_EMA33,0.6072072072072073,0.4058140133267468,0.4842191142191142,0.7602669093114953,0.4347377048973569,0.0086433228871041,0.4254182156133829,0.4484781598513011
13,Experiment_2-9_v2_points_SMA7_Diff,0.5981981981981983,0.3989140654990702,0.4901165501165501,0.7584091598422809,0.4380980233813533,0.0018163002926208,0.434651835877646,0.4389595702572801
14,Experiment_2-11_v2_points_EMA33_Diff,0.5968468468468469,0.3933420800456862,0.4791375291375292,0.757089778586594,0.4284417642553827,0.0048730877794886,0.4166274509803922,0.4353877117035011
15,Experiment_2-4_v2_points_EMA50,0.5950450450450451,0.3954036316481958,0.4710023310023309,0.7525724143160448,0.4224492525612741,0.0048339709779889,0.4148715209779834,0.4284825507922621
16,Experiment_2-7_v2_points_SMA3_Diff,0.5900900900900901,0.3820982938629997,0.4724941724941726,0.7564642098877767,0.4203501177185387,0.0,0.4203501177185387,0.4203501177185387
17,Experiment_2-2_v2_points_SMA7,0.5891891891891892,0.3901791489053195,0.4779720279720279,0.7531392174704277,0.4271424161087096,0.0082215818917891,0.4139674730080634,0.4403622693096378
18,Experiment_2-10_v2_points_EMA50_Diff,0.5828828828828829,0.3828852701786448,0.4651282051282051,0.7484607218683652,0.4156120884969239,0.005025859392992,0.4062833766600165,0.4218188802458465
19,Experiment_1-4_ELO_diff,0.5810483870967742,0.4735233106480607,0.5037693564009353,0.7747302610634654,0.480450432774526,0.0129627086983468,0.4619221487588478,0.5049218067793919
20,Experiment_1-2_ELO_ranks,0.5725806451612903,0.4275326515942599,0.4974558979560902,0.7545128538610848,0.4330066723515531,0.0181200097697035,0.4170603674540682,0.4676793473773748
21,Experiment_1-5_FIFA_and_ELO_ranks,0.5689516129032258,0.4023006156525524,0.4915717389361099,0.7515984429392251,0.4246361044849857,0.012666588736026,0.4120218579234973,0.4560075369738339
22,Experiment_1-6_FIFA_and_ELO_ranks_diff,0.5689516129032258,0.4136720922840426,0.4974316073392641,0.7558460340955685,0.4281130572732112,0.0052854709065342,0.4234119504864755,0.4385431096593593
23,Experiment_1-3_ranks_diff,0.5665322580645162,0.3737467547861983,0.4940690086707786,0.7546533713200381,0.4212052897701031,0.0023893971153692,0.4180609513942848,0.4234119504864755
24,Experiment_1-1_FIFA_ranks,0.5620967741935484,0.3755362264161437,0.4859926700634664,0.7493230226563561,0.4161445564638928,0.005403149198962,0.409588801399825,0.4234119504864755
