,experiment,accuracy,precision,recall,specificity,f1,f1_std,f1_min,f1_max
0,Experiment_3-3_ranks_SMA_best,0.6653153153153154,0.6219890859870028,0.5707226107226107,0.8081927509857447,0.5398325814334313,0.0225274489260788,0.5109024604163782,0.5765420450524825
1,Experiment_3-2_ranks_EMA_best,0.6621621621621622,0.6049419478963227,0.5625219461389674,0.8055696087352139,0.5205823084879511,0.0285037245879873,0.4824179017727405,0.5722187122446492
2,Experiment_4-1_FIFA_rank_goal_diff_EMA,0.6558558558558559,0.6107015512282559,0.5542625071880392,0.7999306757028276,0.5083856305269431,0.0186364883939614,0.4723940808278157,0.5296985163010584
3,Experiment_3-1_ELO_SMA5,0.6536585365853659,0.442670546341562,0.5444609788359788,0.7894813957971852,0.4822071196258841,0.0102771310691259,0.4690196078431373,0.5075480692833306
4,Experiment_3-5_ranks_diff_EMA_diff,0.6477477477477478,0.5279214866359054,0.5420140852055746,0.7959086290567183,0.4859897846261341,0.0120856179585212,0.4688460768796958,0.5098721229152936
5,Experiment_3-6_ranks_diff_EMA_diff_SMA_diff,0.6418918918918919,0.5619691549279361,0.5383603630412142,0.7938848953594178,0.4924792035621495,0.0180329183045961,0.4682592592592593,0.5273731736441021
6,Experiment_2-8_SMA5_diff,0.634959349593496,0.4178111978257327,0.5183035714285714,0.776105006105006,0.4591567155863421,0.0135852276317831,0.4394698504068507,0.4675939435204098
7,Experiment_2-2_SMA5,0.6341463414634146,0.4152644947024769,0.5229001322751322,0.778009768009768,0.4614700085645781,0.0056743046118378,0.4522522522522522,0.4708458458458458
8,Experiment_2-9_SMA7_diff,0.6206896551724138,0.4172494172494172,0.5296296296296295,0.761786306562426,0.4646464646464647,0.0,0.4646464646464647,0.4646464646464647
9,Experiment_2-3_SMA7,0.6195402298850575,0.4075306109952848,0.5270370370370369,0.765434731106373,0.4584495068116085,0.0060086349415411,0.4461987056397127,0.4678187895597753
10,Experiment_2-1_SMA3,0.5976470588235294,0.3781558689355261,0.474679905931539,0.7541427691908882,0.4192033778724361,0.0066848970914675,0.4129129129129129,0.4374608017628612
11,Experiment_3-4_ranks_diff_SMA5_diff,0.5951219512195122,0.3850927624944947,0.5159390515322719,0.774645732689211,0.4409389023455634,0.0039761144095295,0.434288905435592,0.445511010728402
12,Experiment_2-7_SMA3_diff,0.588235294117647,0.3759553243075132,0.4706907063844612,0.7506885713359905,0.4135543899694843,0.000676176188502,0.4129129129129129,0.4141958670260557
13,Experiment_1-4_ELO_diff,0.5810483870967742,0.4735233106480607,0.5037693564009353,0.7747302610634654,0.480450432774526,0.0129627086983468,0.4619221487588478,0.5049218067793919
14,Experiment_1-2_ELO_ranks,0.5725806451612903,0.4275326515942599,0.4974558979560902,0.7545128538610848,0.4330066723515531,0.0181200097697035,0.4170603674540682,0.4676793473773748
15,Experiment_1-6_FIFA_and_ELO_ranks_diff,0.5689516129032258,0.4136720922840426,0.4974316073392641,0.7558460340955685,0.4281130572732112,0.0052854709065342,0.4234119504864755,0.4385431096593593
16,Experiment_1-5_FIFA_and_ELO_ranks,0.5689516129032258,0.4023006156525524,0.4915717389361099,0.7515984429392251,0.4246361044849857,0.012666588736026,0.4120218579234973,0.4560075369738339
17,Experiment_1-3_ranks_diff,0.5665322580645162,0.3737467547861983,0.4940690086707786,0.7546533713200381,0.4212052897701031,0.0023893971153692,0.4180609513942848,0.4234119504864755
18,Experiment_1-1_FIFA_ranks,0.5620967741935484,0.3755362264161437,0.4859926700634664,0.7493230226563561,0.4161445564638928,0.005403149198962,0.409588801399825,0.4234119504864755
19,Experiment_2-5_EMA33,0.5315315315315315,0.3629706181396316,0.4417534568990879,0.7219678290477868,0.3770968884151505,0.0064192823255132,0.368838028169014,0.3872390585193353
20,Experiment_2-6_EMA25,0.5252252252252252,0.354232799617477,0.4363754045307443,0.7194954628558011,0.3711384943706929,0.0054966112336094,0.3636321902400954,0.3812865497076023
21,Experiment_2-4_EMA50,0.5220720720720722,0.3555624054096599,0.429591056192998,0.7156829198745366,0.363844321618638,0.0161965301499983,0.3469591226321036,0.3896282101328412
22,Experiment_2-10_EMA50_diff,0.5216216216216216,0.3380044978339995,0.4462135922330096,0.7249031349066574,0.378002271232374,0.0036528317092121,0.3743074127988986,0.3864202755442704
23,Experiment_2-11_EMA33_diff,0.5211711711711711,0.3398261268953417,0.4393939393939394,0.7215635954980794,0.3726547161536037,0.0020787520600213,0.3696581196581197,0.374037403740374
24,Experiment_2-12_EMA25_diff,0.5157657657657657,0.3321754060473217,0.4470903206825536,0.7244821281806135,0.3776156763777994,0.0045485024487647,0.3723441309648206,0.3858585858585858
